宏观变量代码,宏观变量名,field,raw_data_type,factor_type,is_used,数据结构,freq,api,单位,来源
M0017128,中国:制造业PMI:新订单,value,扩散,China_growth,TRUE,加法,月,edb,%,国家统计局
M5206730,中国:社会融资规模:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,亿元,中国人民银行
S0059749,中债国债到期收益率:10年,value,利率,China_growth,TRUE,乘法,日,edb,%,中债估值中心
S0059744,中债国债到期收益率:1年,value,利率,China_growth,TRUE,乘法,日,edb,%,中债估值中心
S0027013,中国:发电量:当月同比,value,同比,China_growth,TRUE,乘法,月,edb,%,国家统计局
S0026989,中国:产量:原煤:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,万吨,国家统计局
S5100021,中国:全社会用电量:当月值,value,当月值,China_growth,,乘法,月,edb,万千瓦时,国家能源局
S0027571,中国:产量:铝材:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,万吨,国家统计局
S0027907,中国:产量:汽车:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,万辆,国家统计局
S6001740,中国:销量:叉车:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,台,根据新闻整理
S0036034,中国:铁路货运量:当月同比,value,同比,China_growth,TRUE,乘法,月,edb,,
S0036018,中国:货物周转量:当月值,value,当月值,China_growth,TRUE,乘法,月,edb,亿吨公里,国家统计局
S2707380,中国:30大中城市:成交面积:商品房,value,当日值,China_growth,TRUE,乘法,日,edb,万平方米,国家统计局
M0017129,中国:制造业PMI:新出口订单,value,扩散,China_growth,TRUE,加法,月,edb,%,国家统计局
M0000607,中国:出口金额:当月同比,value,同比,China_growth,TRUE,乘法,月,edb,%,海关总署
M0017126,中国:制造业PMI,value,扩散,China_growth,,加法,月,edb,%,国家统计局
S0105897,南华工业品指数,value,价格,China_inflation,TRUE,乘法,日,edb,点,南华期货
S0031525,期货结算价(连续):布伦特原油,value,价格,China_inflation,TRUE,乘法,日,edb,美元/桶,根据新闻整理
M0325601,CFETS人民币汇率指数,value,价格,China_inflation,TRUE,乘法,周,edb,点,中国货币网
M5766711,中国:制造业PMI:出厂价格,value,扩散,China_inflation,TRUE,加法,月,edb,%,国家统计局
M0017134,中国:制造业PMI:主要原材料购进价格,value,扩散,China_inflation,TRUE,加法,月,edb,%,国家统计局
M0085932,中国:CPI:不包括食品和能源(核心CPI):当月同比,value,同比,China_inflation,TRUE,加法,月,edb,%,国家统计局
M0001227,中国:PPI:当月同比,value,同比,China_inflation,TRUE,加法,月,edb,%,国家统计局
S0066840,中国:大宗价:猪肉,value,价格,China_inflation,TRUE,乘法,周,edb,元/千克,农业农村部
S0066753,中国:钢材价格指数:螺纹钢(Φ16),value,价格,China_inflation,TRUE,乘法,周,edb,1994年4月=100,根据新闻整理
U0929600,美国:盈亏平衡通胀率:10年:非季调,value,价格,US_inflation,TRUE,加法,日,edb,%,根据新闻整理
V8735313,美国:盈亏平衡通胀率:5年:非季调,value,价格,US_inflation,TRUE,加法,日,edb,%,根据新闻整理
M0000005,期货结算价(连续):WTI原油,value,价格,US_inflation,TRUE,乘法,日,edb,美元/桶,根据新闻整理
S0180946,期货结算价(活跃合约):COMEX铜,value,价格,US_inflation,TRUE,乘法,日,edb,美元/磅,COMEX
S0031505,CRB现货指数:综合,value,价格,US_inflation,TRUE,乘法,日,edb,,根据新闻整理
G0000027,美国:CPI:非季调:同比,value,同比,China_inflation,TRUE,加法,月,edb,%,美国劳工部
G0000029,美国:核心CPI:非季调:同比,value,同比,China_inflation,TRUE,加法,月,edb,%,美国劳工部
M0000271,美元指数,value,价格,US_inflation,TRUE,乘法,日,edb,1973年3月=100,行情
G0000891,美国:国债收益率:10年,value,利率,US_growth,TRUE,加法,日,edb,%,美国财政部
G0000887,美国:国债收益率:2年,value,利率,US_growth,TRUE,加法,日,edb,%,美国财政部
G0008345,美国:ISM:制造业PMI:新订单,value,扩散,US_growth,TRUE,加法,月,edb,,根据新闻整理
S0069672,期货收盘价(连续):COMEX铜,value,价格,US_growth,TRUE,加法,月,edb,美元/磅,COMEX
S0069669,期货收盘价(连续):COMEX黄金,value,价格,US_growth,TRUE,乘法,日,edb,美元/盎司,COMEX
M1006337,DR007,value,利率,China_monetary,TRUE,加法,日,edb,%,中国货币网
M1001795,R007,value,利率,China_monetary,TRUE,加法,日,edb,%,中国货币网
M0017142,SHIBOR:3个月,value,利率,China_monetary,TRUE,加法,日,edb,%,全国银行间同业拆借中心
S0059774,中债企业债到期收益率(AAA):5年,value,利率,China_credit,TRUE,加法,日,edb,%,中债估值中心
S0059764,中债企业债到期收益率(AA):5年,value,利率,China_credit,TRUE,加法,日,edb,%,中债估值中心
S0059747,中债国债到期收益率:5年,value,利率,China_credit,TRUE,加法,日,edb,%,中债估值中心
